time,condition,mean,sem
20,1,56.8,8.4
40,1,41.5,4.1
60,1,32.1,5
80,1,28.3,4.1
100,1,26.8,3.8
120,1,26.6,3.6
140,1,21.6,4.1
160,1,20.1,5.3
180,1,17.3,3.6
20,2,120.8,10.3
40,2,108.3,9.6
60,2,99.2,9.3
80,2,88.4,12
100,2,70.2,8.6
120,2,58.9,5.3
140,2,47,8.1
160,2,46.7,5.8
180,2,37.6,6.9
20,3,73.6,9.3
40,3,77.4,11
60,3,81.5,10.8
80,3,81.2,8.4
100,3,77.6,3.8
120,3,76,9.1
140,3,73.8,9.3
160,3,69,11.3
180,3,66.9,9.1
20,4,60.1,5
40,4,66.1,6
60,4,73.6,6.2
80,4,83.1,6.5
100,4,88.4,6.5
120,4,88.2,9.3
140,4,85.8,9.3
160,4,84.1,11
180,4,87.2,10.3
